endereco,bairro_cidade,preco,area,quartos,vagas
SQN 303 Bloco I," ASA NORTE, BRASILIA",14.07710606547538,4.553876891600541,3.0,1.0
QS 5 Rua 400," AREAL, AGUAS CLARAS",13.197472705176983,4.110873864173311,2.0,1.0
SQSW 303 Bloco J," SUDOESTE, BRASILIA",14.240125138933223,4.382026634673881,2.0,1.0
SQN 402," ASA NORTE, BRASILIA",14.151983508870947,4.955827057601261,2.0,2.0
Condomínio Residencial Santa Mônica," JARDIM BOTANICO, BRASILIA",13.910821646859095,5.484796933490655,3.0,2.0
Avenida Parque Águas Claras," NORTE, AGUAS CLARAS",14.580978865220017,5.093750200806762,3.0,3.0
SQNW 307 Bloco A," NOROESTE, BRASILIA",14.148405690083225,4.454347296253507,2.0,2.0
Avenida das Araucárias," SUL, AGUAS CLARAS",13.017005083966255,4.07753744390572,2.0,1.0
SQSW 500 Bloco H," SUDOESTE, BRASILIA",15.090873637706453,5.231108616854587,4.0,3.0
QI 31 Lotes 2/4," GUARA II, GUARA",13.652992804936396,4.23410650459726,2.0,1.0
Avenida Jacarandá," SUL, AGUAS CLARAS",13.652992804936396,4.51085950651685,3.0,1.0
SQN 211," ASA NORTE, BRASILIA",14.144815024531075,4.30406509320417,2.0,2.0
SQN 211," ASA NORTE, BRASILIA",14.220976332738882,4.31748811353631,2.0,2.0
QI 24," SETOR INDUSTRIAL, TAGUATINGA",12.706850963741102,3.9318256327243257,2.0,1.0
SHIN QI 11," LAGO NORTE, BRASILIA",14.64406281221155,6.021023349349527,4.0,5.0
SQN 303," ASA NORTE, BRASILIA",14.173185701536545,4.61512051684126,3.0,1.0
Condomínio Ouro Vermelho II," JARDIM BOTANICO, BRASILIA",14.151983508870947,5.303304908059076,3.0,4.0
Rua 36," SUL, AGUAS CLARAS",13.415034483903348,4.330733340286331,3.0,1.0
Ville de Montagne," JARDIM BOTANICO, BRASILIA",14.557448378884015,6.678342114654332,4.0,2.0
SQNW 307," NOROESTE, BRASILIA",14.77102238760702,5.049856007249537,3.0,3.0
Rua DAS PAINEIRAS," NORTE, AGUAS CLARAS",14.137594781770806,5.111987788356544,4.0,2.0
SQSW 303," SUDOESTE, BRASILIA",14.166168133802548,4.584967478670572,3.0,1.0
Rua 24," NORTE, AGUAS CLARAS",14.503645699213111,5.37989735354046,4.0,3.0
SHIN QL 4 Conjunto 5," LAGO NORTE, BRASILIA",14.557448378884015,6.2166061010848646,6.0,6.0
Rua 4," NORTE, AGUAS CLARAS",14.321726171945155,5.351858133476067,4.0,3.0
SQNW 309 Bloco B," NOROESTE, BRASILIA",14.030622744032508,4.430816798843313,2.0,2.0
